Temps de simulation total : 540029177 jours
Probabilité d'être infecté (lambda) : 0.250000 
Probabilité d'être immunisé (gamma) : 0.050000 
Probabilité de mourir (beta) : 0.300000 
Proportion finale d'individus sains  : 40.000000% 
Proportion finale d'individus immunisés  : 824193536.000000% 
Proportion finale d'individus infectés  : 824193536.000000%
Proportion finale d'individus malades  : 540150336.000000%
Proportion finale d'individus zombies  : 540215872.000000%
Proportion finale d'individus morts  : 540215936.000000%
Individu n°1 initialement sain finalement sain
Individu n°2 initialement sain finalement mort
Individu n°3 initialement sain finalement mort
Individu n°4 initialement sain finalement mort
Individu n°5 initialement sain finalement mort
Individu n°6 initialement sain finalement mort
Individu n°7 initialement sain finalement mort
Individu n°8 initialement sain finalement mort
Individu n°9 initialement sain finalement mort
Individu n°10 initialement sain finalement mort
Individu n°11 initialement sain finalement mort
Individu n°12 initialement sain finalement mort
Individu n°13 initialement sain finalement mort
Individu n°14 initialement sain finalement mort
Individu n°15 initialement sain finalement immunisé
Individu n°16 initialement infecté finalement mort
Individu n°17 initialement sain finalement immunisé
Individu n°18 initialement sain finalement mort
Individu n°19 initialement sain finalement mort
Individu n°20 initialement sain finalement sain
Individu n°21 initialement infecté finalement mort
Individu n°22 initialement sain finalement mort
Individu n°23 initialement sain finalement mort
Individu n°24 initialement sain finalement mort
Individu n°25 initialement sain finalement mort
Individu n°26 initialement sain finalement mort
Individu n°27 initialement sain finalement sain
Individu n°28 initialement sain finalement immunisé
Individu n°29 initialement sain finalement mort
Individu n°30 initialement sain finalement mort
Individu n°31 initialement sain finalement mort
Individu n°32 initialement sain finalement mort
Individu n°33 initialement sain finalement mort
Individu n°34 initialement sain finalement mort
Individu n°35 initialement sain finalement mort
Individu n°36 initialement sain finalement sain
Individu n°37 initialement sain finalement sain
Individu n°38 initialement sain finalement sain
Individu n°39 initialement sain finalement immunisé
Individu n°40 initialement infecté finalement mort
Individu n°41 initialement sain finalement mort
Individu n°42 initialement sain finalement mort
Individu n°43 initialement sain finalement mort
Individu n°44 initialement sain finalement mort
Individu n°45 initialement sain finalement mort
Individu n°46 initialement sain finalement mort
Individu n°47 initialement sain finalement sain
Individu n°48 initialement sain finalement sain
Individu n°49 initialement sain finalement sain
Individu n°50 initialement sain finalement sain
Individu n°51 initialement sain finalement mort
Individu n°52 initialement sain finalement mort
Individu n°53 initialement sain finalement mort
Individu n°54 initialement sain finalement mort
Individu n°55 initialement sain finalement immunisé
Individu n°56 initialement sain finalement sain
Individu n°57 initialement sain finalement sain
Individu n°58 initialement sain finalement sain
Individu n°59 initialement sain finalement sain
Individu n°60 initialement sain finalement sain
Individu n°61 initialement sain finalement mort
Individu n°62 initialement sain finalement immunisé
Individu n°63 initialement sain finalement mort
Individu n°64 initialement sain finalement mort
Individu n°65 initialement sain finalement mort
Individu n°66 initialement infecté finalement mort
Individu n°67 initialement sain finalement sain
Individu n°68 initialement sain finalement sain
Individu n°69 initialement sain finalement sain
Individu n°70 initialement sain finalement sain
Individu n°71 initialement sain finalement mort
Individu n°72 initialement sain finalement mort
Individu n°73 initialement sain finalement mort
Individu n°74 initialement sain finalement mort
Individu n°75 initialement sain finalement sain
Individu n°76 initialement infecté finalement mort
Individu n°77 initialement sain finalement sain
Individu n°78 initialement sain finalement sain
Individu n°79 initialement sain finalement sain
Individu n°80 initialement sain finalement sain
Individu n°81 initialement sain finalement mort
Individu n°82 initialement sain finalement mort
Individu n°83 initialement sain finalement sain
Individu n°84 initialement sain finalement sain
Individu n°85 initialement sain finalement immunisé
Individu n°86 initialement sain finalement sain
Individu n°87 initialement sain finalement sain
Individu n°88 initialement sain finalement immunisé
Individu n°89 initialement sain finalement sain
Individu n°90 initialement sain finalement sain
Individu n°91 initialement sain finalement sain
Individu n°92 initialement sain finalement sain
Individu n°93 initialement sain finalement sain
Individu n°94 initialement sain finalement sain
Individu n°95 initialement sain finalement sain
Individu n°96 initialement sain finalement sain
Individu n°97 initialement sain finalement sain
Individu n°98 initialement sain finalement sain
Individu n°99 initialement sain finalement sain
Individu n°100 initialement sain finalement sain
Temps moyen de contamination, pondéré par la distance initiale au plus proche infecté : 143570432.000000 jours
